ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
lane6	UNKNOWN	DB188	250792602	250628949	2483134	1.12138	242156267	8515041	112007	4398	830	550	327	179	142	91	94	96	96	145	260	719	1360	18105523	15673041	13763720	12439683	11092960	9431321	7877814	6634512	5427432	4092904	
lane7	UNKNOWN	DB189	194415428	194053078	1167127	1.33951	187732337	6587090	87651	3530	739	459	318	142	127	95	99	111	155	219	335	681	1340	14332924	12713246	11390593	10492954	9553721	8287146	7030425	6007898	5005647	3873847	
lane8	UNKNOWN	DB189	237849209	237431319	1429118	1.30315	229664506	8067711	107011	4241	832	619	321	216	141	127	134	134	159	297	389	804	1567	17495435	15563276	13980633	12919267	11786839	10237406	8717368	7470895	6244787	4846502	
lane7	UNKNOWN	DB190	229616406	229104984	2511080	1.56527	221697851	7804304	103848	4435	816	622	329	206	137	119	90	93	113	161	268	959	2055	16445986	14333395	12730115	11646151	10461695	8950967	7516564	6366246	5245644	3983613	
lane8	UNKNOWN	DB190	273793244	273240876	2729036	1.45039	264341431	9316535	123057	5361	999	740	400	232	144	122	104	117	125	190	370	1098	2219	19583001	17155214	15303989	14047109	12668708	10874870	9164330	7803518	6464411	4922316	
lane7	UNKNOWN	DB191	212820331	212560836	2838640	0.742664	205550662	7167092	94555	4762	708	473	253	115	88	70	72	57	60	96	115	360	793	15222232	13192117	11699443	10704213	9604362	8179686	6850395	5793154	4755210	3584460	
lane8	UNKNOWN	DB191	260809040	260522898	3362587	0.657942	251888772	8794855	115973	5725	848	565	302	145	108	61	60	59	61	78	151	389	888	18605150	16184819	14391946	13195359	11860775	10126135	8492957	7195678	5927370	4484282	
lane1	UNKNOWN	DB192	309889977	309682468	2907712	0.978973	299033039	10701583	143064	6110	1253	874	486	246	190	125	128	111	122	195	310	758	1383	22260350	19554276	17387296	15830681	14202744	12159119	10217329	8636462	7102876	5427309	
lane2	UNKNOWN	DB192	314025850	313807487	2984415	1.09326	303028335	10839877	144917	6031	1264	872	465	297	213	162	151	140	179	244	406	828	1469	22580550	19893852	17741591	16194907	14561586	12491498	10503842	8887749	7317944	5589553	
lane5	UNKNOWN	DB193	410095651	409841653	5288740	1.48275	396045421	13852238	181117	6509	1613	1054	573	343	264	204	169	195	203	311	530	1643	3264	29332477	25643561	22751410	20766940	18699904	16061616	13558320	11546157	9564536	7314604	
lane6	UNKNOWN	DB193	233448580	233289873	2258869	1.19683	225437378	7900928	101993	3431	835	527	282	186	148	87	107	87	101	152	280	757	1301	16733166	14544553	12831587	11649754	10436326	8939187	7511732	6348326	5234156	3982588	
lane3	UNKNOWN	DB194	228265937	228107094	1657512	0.799236	220299486	7852608	105013	4981	775	610	305	196	126	99	87	104	105	150	192	402	698	16543856	14502338	12864599	11701039	10517085	9021793	7581156	6422830	5307715	4049783	
lane4	UNKNOWN	DB194	294929560	294709355	2510791	0.694605	284638490	10145625	134824	6144	1055	684	333	199	142	133	89	100	94	146	254	478	770	21333423	18648722	16516414	15022746	13480545	11563203	9719086	8222557	6793404	5193223	
lane1	UNKNOWN	DB195	323202501	323007620	3517116	0.610426	312175209	10872562	144213	5690	1166	808	413	286	165	152	106	88	93	121	229	414	786	23320593	20458733	18282376	16916250	15462965	13449068	11468215	9852270	8259050	6386542	
lane2	UNKNOWN	DB195	328608857	328398955	3558758	0.591611	317385817	11066063	146559	5642	1142	774	449	256	163	120	116	86	113	122	197	452	786	23724622	20831252	18626406	17245088	15766857	13710148	11678521	10047633	8406983	6499912	
lane5	UNKNOWN	DB196	411180406	410891255	5502738	0.763899	396992532	13990665	182814	7425	1556	1016	539	341	265	197	161	159	179	226	400	775	1156	29629932	26231716	23530668	21627430	19603641	16935733	14355979	12249124	10189868	7826946	
lane6	UNKNOWN	DB196	242706314	242511782	2646736	0.586508	234322685	8269305	106919	3975	855	580	285	175	115	93	105	79	86	114	195	304	444	17525345	15435849	13760637	12573230	11330056	9758364	8235479	6983508	5772333	4419818	
lane1	UNKNOWN	DB197	278070960	277724525	2560957	0.686382	268407499	9528450	125869	4781	1012	695	347	205	164	114	112	96	115	137	238	385	741	20305140	17891629	15895965	14495252	13059696	11251366	9476083	8027763	6633086	5091872	
